INDICATIVO,NATCODE,NAMEUNIT
0016B,34094343123,Reus
1082,34164848903,Loiu
1495,34123636045,Redondela
3013,34081919190,Molina de Aragón
5270B,34012323050,Jaén
7031X,34143030035,San Javier
0341,34090808283,Tona
1477U,34123636060,Vilagarcía de Arousa
4116I,34081313013,Almagro
0016A,34094343047,Constantí
0076,34090808169,El Prat de Llobregat
0149D,34090808113,Manresa
0158O,34090808127,Monistrol de Montserrat
0189E,34090808279,Terrassa
0200E,34090808019,Barcelona
0208,34090808096,Granollers
0294B,34091717022,La Bisbal d'Empordà
0321,34091717036,Campdevànol
0367,34091717233,Vilobí d'Onyar
0394,34091717208,La Vall de Bianya
0421E,34091717064,Espolla
1014,34162020036,Hondarribia
1014A,34162020036,Hondarribia
1024E,34162020069,Donostia/San Sebastián
1109,34063939016,Camargo
1111,34063939075,Santander
1111X,34063939075,Santander
1207U,34033333024,Gijón
1208H,34033333024,Gijón
1212E,34033333016,Castrillón
1249I,34033333044,Oviedo
1249X,34033333044,Oviedo
1354C,34121515036,Ferrol
1387,34121515030,A Coruña
1387E,34121515031,Culleredo
1428,34121515066,O Pino
1484C,34123636038,Pontevedra
1505,34122727010,Castro de Rei
1549,34072424115,Ponferrada
1690A,34123232054,Ourense
2030,34074242173,Soria
2331,34070909059,Burgos
2422,34074747186,Valladolid
2444,34070505019,Ávila
2462,34074040181,Real Sitio de San Ildefonso
2465,34074040194,Segovia
2539,34074747217,Villanubla
2614,34074949275,Zamora
2661B,34072424142,San Andrés del Rabanedo
2867,34073737069,Calvarrasa de Abajo
3129,34132828079,Madrid
3168D,34081919130,Guadalajara
3175,34132828148,Torrejón de Ardoz
3191E,34132828045,Colmenar Viejo
3195,34132828079,Madrid
3196,34132828079,Madrid
3200,34132828065,Getafe
3260B,34084545168,Toledo
3469A,34111010037,Cáceres
4121,34081313034,Ciudad Real
4452,34110606015,Badajoz
4642E,34012121041,Huelva
5000C,34185151001,Ceuta
5402,34011414021,Córdoba
5514,34011818062,Churriana de la Vega
5530E,34011818059,Chauchina
5783,34014141091,Sevilla
5796,34014141011,Arahal
